# Metrics for NVIDIA GeForce RTX 5090
# Total: 3534
#----------------------------------------------------------------------------------------------------
# Metric Name                                                            Type            Unit           
#----------------------------------------------------------------------------------------------------
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom                  Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red                   Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st                    Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_pipe_lsu                             Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_pipe_tex                             Counter         sector         
l1tex__m_l1tex2xbar_write_sectors_pipe_tma                             Counter         sector         
l1tex__m_xbar2l1tex_read_bytes                                         Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared                             Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_atom                     Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_ld                       Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_redas                    Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_st                       Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_tma_red                  Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_dshared_op_tma_st                   Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom                      Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_access       Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld                    Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld_dest_self          Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_lg_op_ld                            Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_atom                     Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_surface_op_ld                       Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_mem_texture                             Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_pipe_lsu                                Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_pipe_tex                                Counter         byte           
l1tex__m_xbar2l1tex_read_bytes_pipe_tma                                Counter         byte           
l1tex__m_xbar2l1tex_read_sectors                                       Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared                           Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom                   Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld                     Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas                  Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st                     Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red                Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st                 Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom                    Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_access     Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_tma_ld                  Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_tma_ld_dest_self        Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld                          Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom                   Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld                     Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_mem_texture                           Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_pipe_lsu                              Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_pipe_tex                              Counter         sector         
l1tex__m_xbar2l1tex_read_sectors_pipe_tma                              Counter         sector         
l1tex__m_xbar2l1tex_throughput                                         Throughput      %              
l1tex__m_xbar2l1tex_throughput_pipe_lsu                                Throughput      %              
l1tex__m_xbar2l1tex_throughput_pipe_lsu_mem_dshared                    Throughput      %              
l1tex__m_xbar2l1tex_throughput_pipe_tex                                Throughput      %              
l1tex__t_bytes                                                         Counter         byte           
l1tex__t_bytes_lookup_hit                                              Counter         byte           
l1tex__t_bytes_lookup_miss                                             Counter         byte           
l1tex__t_bytes_pipe_lsu                                                Counter         byte           
l1tex__t_bytes_pipe_lsu_lookup_hit                                     Counter         byte           
l1tex__t_bytes_pipe_lsu_lookup_miss                                    Counter         byte           
l1tex__t_bytes_pipe_lsu_mem_dshared                                    Counter         byte           
